"subject","absVD","OV","trial","choice","rt","leftval","rightval","VD","fixDurLeft","fixDurRight","fixDurTotal","EL","ER","x1","x2"
1,2,16,1,0,996,9,7,2,16,589,605,0.0264462809917355,0.973553719008264,-6.57685950413223,8.57685950413223
1,2,16,2,0,1198,7,9,-2,429,378,807,0.531598513011152,0.468401486988848,-0.494423791821561,-1.50557620817844
1,2,16,3,0,819,7,9,-2,0,428,428,0,1,-9,7
1,2,16,4,1,2648,7,9,-2,1189,1068,2257,0.526805494018609,0.473194505981391,-0.57111209570226,-1.42888790429774
1,2,16,5,1,1584,9,7,2,400,793,1193,0.335289186923722,0.664710813076278,-1.63537300922045,3.63537300922045
1,2,16,6,0,1437,7,9,-2,731,315,1046,0.698852772466539,0.301147227533461,2.18164435946463,-4.18164435946463
1,2,16,7,0,539,7,9,-2,0,148,148,0,1,-9,7
1,2,16,8,1,717,7,9,-2,326,0,326,1,0,7,-9
1,2,16,9,1,1249,7,9,-2,455,403,858,0.53030303030303,0.46969696969697,-0.515151515151516,-1.48484848484848
1,2,16,10,0,2193,7,9,-2,946,856,1802,0.524972253052164,0.475027746947836,-0.600443951165372,-1.39955604883463
1,2,16,11,1,1441,7,9,-2,704,346,1050,0.67047619047619,0.329523809523809,1.72761904761905,-3.72761904761905
1,2,16,12,0,1291,9,7,2,412,488,900,0.457777777777778,0.542222222222222,0.324444444444444,1.67555555555556
1,2,16,13,1,3480,9,7,2,1479,1610,3089,0.478795726772418,0.521204273227582,0.660731628358692,1.33926837164131
1,2,16,14,0,2445,7,9,-2,1021,1033,2054,0.497078870496592,0.502921129503408,-1.04673807205453,-0.953261927945472
1,2,16,15,1,1635,7,9,-2,593,651,1244,0.476688102893891,0.523311897106109,-1.37299035369775,-0.627009646302251
1,2,16,16,0,1678,9,7,2,628,659,1287,0.487956487956488,0.512043512043512,0.807303807303807,1.19269619269619
1,2,16,17,0,585,7,9,-2,0,194,194,0,1,-9,7
1,2,16,18,0,3093,7,9,-2,1778,924,2702,0.658031088082902,0.341968911917098,1.52849740932643,-3.52849740932642
1,2,16,19,0,602,7,9,-2,0,211,211,0,1,-9,7
1,2,16,20,0,2685,7,9,-2,1194,1100,2294,0.520488230165649,0.47951176983435,-0.672188317349607,-1.32781168265039
1,2,16,21,0,1773,9,7,2,732,650,1382,0.529667149059334,0.470332850940666,1.47467438494935,0.525325615050651
1,2,16,22,1,776,9,7,2,385,0,385,1,0,9,-7
1,2,16,23,1,1799,9,7,2,624,784,1408,0.443181818181818,0.556818181818182,0.0909090909090913,1.90909090909091
1,2,16,24,1,1796,7,9,-2,792,613,1405,0.563701067615658,0.436298932384342,0.0192170818505342,-2.01921708185053
1,2,16,25,0,2564,9,7,2,734,1439,2173,0.337781868384722,0.662218131615278,-1.59549010584446,3.59549010584445
1,2,16,26,1,726,9,7,2,335,0,335,1,0,9,-7
1,2,16,27,0,528,7,9,-2,0,137,137,0,1,-9,7
1,2,16,28,0,2048,7,9,-2,808,849,1657,0.487628243814122,0.512371756185878,-1.19794809897405,-0.802051901025951
1,2,16,29,0,511,7,9,-2,0,120,120,0,1,-9,7
1,2,16,30,1,784,9,7,2,393,0,393,1,0,9,-7
1,2,16,31,0,1894,7,9,-2,704,799,1503,0.468396540252828,0.531603459747172,-1.50565535595476,-0.494344644045244
1,2,16,32,1,651,7,9,-2,260,0,260,1,0,7,-9
1,2,16,33,1,1182,9,7,2,530,261,791,0.670037926675095,0.329962073324905,3.72060682680152,-1.72060682680152
1,2,16,34,0,1309,9,7,2,437,481,918,0.4760348583878,0.5239651416122,0.616557734204793,1.38344226579521
1,2,16,35,1,1344,7,9,-2,560,393,953,0.587618048268625,0.412381951731375,0.401888772298006,-2.40188877229801
1,2,16,36,0,1456,7,9,-2,675,390,1065,0.633802816901408,0.366197183098592,1.14084507042254,-3.14084507042254
1,2,16,37,1,2421,9,7,2,1186,844,2030,0.58423645320197,0.41576354679803,2.34778325123153,-0.347783251231527
1,2,16,38,0,1052,7,9,-2,311,350,661,0.470499243570348,0.529500756429652,-1.47201210287443,-0.527987897125567
1,2,16,39,0,1807,9,7,2,571,845,1416,0.403248587570621,0.596751412429379,-0.548022598870056,2.54802259887006
1,2,16,40,1,627,7,9,-2,236,0,236,1,0,7,-9
1,2,16,41,0,1239,7,9,-2,290,558,848,0.341981132075472,0.658018867924528,-3.52830188679245,1.52830188679245
1,2,16,42,1,1274,9,7,2,659,224,883,0.746319365798415,0.253680634201585,4.94110985277463,-2.94110985277463
1,2,16,43,1,1172,9,7,2,425,356,781,0.544174135723432,0.455825864276569,1.7067861715749,0.293213828425096
1,2,16,44,0,3260,9,7,2,1399,1470,2869,0.487626350644824,0.512373649355176,0.802021610317183,1.19797838968282
1,2,16,45,0,838,9,7,2,0,447,447,0,1,-7,9
1,2,16,46,1,675,9,7,2,284,0,284,1,0,9,-7
